title;for;dex;con;int;sag;cha;ref;vig;vol;init;pv;ca;xp;vd;sorts;resistances;corps a corps;distance;attaques speciales;dons;competences;modificateurs raciaux;sens;langues;environnement;tresor;organisation sociale;bba;bmo;dmd;text;misc;
"Spriggan";"9";"19";"12";"10";"10";"9";"+5";"+5";"+1";"+4";"22 (4d8+4)";"17, contact 15, pris au depourvu 13 (armure +2, dex +4, taille +1)";"800";"6 m (4 c)";"";;"morgenstern de maitre, +5 (1d6-1)";"arbalete legere, +8 (1d6/19-20)";"attaque sournoise +2d6";"arme de predilection (morgenstern), attaques reflexes";"discretion +15, escalade +1, escamotage +11, perception +7, sabotage +11";"+2 en discretion, +2 en escalade, +2 en escamotage, +2 en perception, +2 en sabotage";"vision nocturne ; perception +7";"aklo, gnome";"collines ou forets";"equipement de pnj (armure de cuir, morgenstern de maitre, arbalete legere avec 10 carreaux, autres tresors)";"solitaire, couple ou groupe (3-12)";"+3";"+1";"15";"* Source : Bestiaire 2 p.258
* À volonté - effroi (DD 12), fracassement (DD 12), illumination (DD 10)";"* magie des spriggans : . un spriggan gagne un bonus racial de +1 aux tests de concentration et au dd des jets de sauvegarde contre ses pouvoirs magiques
* pouvoirs magiques : (nls 4 ; concentration +4)
* competences des spriggans : . discretion, escalade, escamotage, perception et sabotage sont des competences de classe pour les spriggans
* humanoide : (gnome) de taille p, cm
* particularites : changement de taille, competences des spriggans, magie des spriggans
* changement de taille : . par une action simple utilisable a volonte, un spriggan peut changer sa taille, de p a g et vice-versa. les armes, l'armure et les autres objets portes changent de taille en meme temps que lui (les objets laches reviennent a leur taille normale au bout d'un round). lorsqu'un spriggan devient grand, sa vitesse s'accroit a 9 metres, il gagne +12 en force, -2 en dexterite et +6 en constitution et subit un malus de taille de -2 a sa ca. un spriggan de taille g ne peut pas utiliser son attaque sournoise ni ses pouvoirs magiques raciaux (mais s'il a acces a ces capacites grace a des niveaux de classe, il peut les utiliser quelle que soit sa taille)";
"Champion squelette";"17";"13";"-";"9";"10";"12";"+1";"+3";"+3 ; resistance a la canalisation +4";"+5";"17 (3 dv ; 2d8+1d10+3)";"21, contact 11, pris au depourvu 20 (armure +6, bouclier +2, dex +1, naturelle +2)";"600";"9 m (6 c)";"";;"epee longue de maitre +7 (1d8+3/19-20)";;;"arme de predilection (epee longue), attaque en puissance, enchainement, science de l'initiative{b}";"discretion -1, intimidation +7, perception +6";;"vision dans le noir 18 m (12 c) ; perception +6";;"quelconque";"standard (cuirasse, ecu en acier, epee longue de maitre, autres tresors";"solitaire, couple ou section (3-12)";"+2";"+5";"16";"* Source : Bestiaire p.263
*  Champion squelette, humain homme d'armes 1
* Mort-vivant de taille M, NM";"* immunites : froid, traits des morts-vivants
* rd : 5/contondant";
"Squelette humain";"15";"14";"-";"-";"10";"10";"+2";"+0";"+2";"+6";"4 (1d8)";"16, contact 12, pris au depourvu 14 (armure +2, dex +2, naturelle +2)";"135";"9 m (6 c)";"";;"cimeterre brise +0 (1d6), griffe -3 (1d4+1) ou 2 griffes +2 (1d4+2)";;;"science de l'initiative{b}";;;"vision dans le noir 18 m (12 c) ; perception +0";;"quelconque";"aucun";"quelconque";"+0";"+2";"14";"* Source : Bestiaire p.264
* Mort-vivant de taille M, NM";"* rd : 5/contondant
* immunites : froid, traits des morts-vivants
* equipement de combat : chemise de mailles brisee, cimeterre brise";
"Stégosaure";"27";"14";"17";"2";"13";"10";"+10";"+13";"+5";"+6";"90 (12d8+36)";"22, contact 10, pris au depourvu 20 (dex +2, naturelle +12, taille -2)";"3.200";"9 m (6 c)";"";;"queue, +16 (4d6+12 et croc-en-jambe)";;;"arme de predilection (queue), attaque en puissance, enchainement, science de l'initiative, science du renversement, vigueur surhumaine";"perception +16";;"odorat, vision nocturne ; perception +16";;"plaines chaudes";"aucun";"solitaire, couple ou troupeau (3-12)";"+9";"+19";"31 (35 contre croc-en-jambe)";"* Source : Bestiaire p.90
* Animal de taille TG, N";"* espace : 4,50 m (3 c)
* allonge : 4,50 m (3 c)";
"Strige";"3";"19";"10";"1";"12";"6";"+6";"+2";"+1";"+4";"5 (1d10)";"16, contact 16, pris au depourvu 12 (dex +4, taille +2)";"200";"3 m (2 c), vol 12 m (8 c) (moyenne)";"";;"contact +7 (fixation)";;"absorption de sang";"attaque en finesse";"discretion +16, vol +8";;"odorat, vision dans le noir 18 m (12 c), vision nocturne ; perception +1";;"marais temperes ou chauds";"aucun";"solitaire, colonie (2-4), vol (5-8), essaim (9-14) ou nuee (15-40)";"+1";"+3 (+11 lutte une fois fixee)";"9 (17 contre les crocs-en-jambe)";"* Source : Bestiaire p.266
* Créature magique de taille TP, N";"* allonge : 0 m ( 0 c)
* absorption de sang : a la fin de son tour, si la strige est attachee a un ennemi, elle suce son sang et lui inflige un affaiblissement temporaire de 1 point de constitution. une fois qu'elle a absorbe 4 points de constitution, elle se detache et s'eloigne pour digerer son repas. si la victime meurt avant que la strige ne soit rassasiee, elle se detache et cherche une nouvelle cible
* porteur de maladies : les striges vivent dans les marais fetides et entrent en contact avec le sang de nombreuses creatures, deux raisons qui font d'elles des porteurs de maladies. chaque creature victime d'une absorption de sang effectuee par une strige a 10% de chances d'etre exposee a la fievre des marais, le mal aveuglant ou une autre maladie similaire (voir ici). la victime effectue un test par strige, mais si d'autres striges l'attaquent, elle doit realiser d'autres tests et peut eventuellement etre affectee par plusieurs maladies
* espace : 75 cm (1/2 c)
* fixation : lorsqu'une strige reussit une attaque de contact, elle accroche ses pattes munies de piques a sa cible et se maintient en place (dans les faits, la strige est agrippee a sa victime). la strige perd son bonus de dexterite a la ca (ce qui lui donne une ca de 12) mais elle s'accroche fermement et insere sa trompe dans la chair de sa victime. elle beneficie d'un bonus racial de +8 pour maintenir sa prise sur un ennemi auquel elle s'est attachee. on peut attaquer directement une strige ou tenter de l'agripper. si la victime de la strige reussit un test de lutte ou d'evasion contre la strige, elle parvient a la detacher
* particularites : porteur de maladies";
"Succube";"13";"17";"20";"18";"14";"27";"+9";"+7";"+10";"+3";"84 (8d10+40)";"20, contact 13, pris au depourvu 17 (dex +3, naturelle +7)";"3.200";"9 m (6 c), vol 15 m (10 c) (moyenne)";"* Constant - détection du bien, don des langues
* À volonté - baiser du vampire, charme-monstre (DD 22), détection de pensées (DD 20), forme éthérée (elle-même et 25 kg d'objets uniquement), suggestion (DD 21), téléportation suprême (elle-même et 25 kg d'objets uniquement)
* 1/jour - convocation (niveau 3, 1 babau 50%), domination (DD 23)";"acide 10, froid 10";"2 griffes +11 (1d6+1)";;"absorption d'energie, don de malfaisance";"attaque en finesse, attaques reflexes, manœuvres agiles, volonte de fer";"bluff +27, connaissances (folklore local) +15, deguisement +19, diplomatie +19, discretion +14, evasion +11, intimidation +16, perception +21, psychologie +13, vol +14";"bluff +8, perception +8";"detection du bien, vision dans le noir 18 m (12 c) ; perception +21";"abyssal, celeste, commun, draconique ; don des langues, telepathie 30 m (20 c)";"quelconque (abysse)";"double";"solitaire, couple ou harem (3-12)";"+8";"+11";"22";"* Source : Bestiaire p.71
* Extérieur (Chaos, démon, extraplanaire, Mal) de taille M, CM";"* pouvoirs magiques : (nls 12{e})
* rd : 10/fer froid ou bien
* rm : 18
* immunites : electricite, feu, poison
* particularites : changement de forme (modification d'apparence, humanoide de taille p ou m)
* don de malfaisance : une fois par jour, une succube peut utiliser une action complexe pour octroyer un don de malfaisance a un humanoide volontaire en restant au contact avec lui pendant un round entier. la cible gagne alors un bonus de malfaisance de +2 a une caracteristique de son choix. la succube ne peut accorder qu'un seul don de malfaisance a la fois a une creature donnee. tant que le don de malfaisance persiste, la succube peut communiquer par telepathie avec la cible, quelle que soit la distance qui les separe (et elle peut utiliser son pouvoir magique de suggestion via ce lien). un rejet du mal ou un rejet du chaos permet de supprimer un don de malfaisance. la succube peut egalement l'annuler par une action libre (ce qui inflige une diminution permanente de 2d6 points de charisme a la victime, sans jet de sauvegarde)
* absorption d'energie : peut absorber l'energie des mortels qu'elle incite a accomplir un acte passionne tel qu'un baiser. les victimes qui ne sont pas volontaires doivent d'abord etre agrippees. le baiser d'une succube inflige un niveau negatif et possede les memes effets qu'un sort de suggestion demandant a la victime d'accepter un autre acte passionne de la part de la succube. la victime doit reussir un jet de volonte de dd 22 pour resister a cette suggestion. le dd du jet de vigueur pour enlever un niveau negatif est egalement de 22. ces dd dependent du charisme";
"Svirfneblin";"13";"15";"14";"10";"10";"8";"+6";"+6";"+2";"+2";"15 (1d10+5)";"15, contact 15, pris au depourvu 11 (dex +2, esquive +2, taille +1)";"400";"6 m (4 c) ou 4,5 m (3 c) en armure";"* Constant-antidétection
* 1/jour-cécité/surdité (DD 12), déguisement, flou";;"pic de guerre lourd +3 (1d4+1/x4)";"arbalete legere +4 (1d6/19-20)";"+1 a l'attaque contre les humanoides nains et reptiliens, ennemi jure (nain +2)";"robustesse";"artisanat (alchimie) +6, connaissances (donjons) +4, discretion +12 (+14 sous terre), perception +6, premiers secours +4, survie +4 (+5 pour pister)";"+2 en artisanat (alchimie), +2 en discretion (+4 en discretion sous terre), +2 en perception";"vision dans le noir 36 m (24 c), vision nocturne ; perception +6";"commun des profondeurs, gnome";"sous terre";"equipement de pnj (pic de guerre lourd, arbalete legere avec 10 carreaux, autres tresors)";"solitaire, compagnie (2-4), escouade (5-20 et 1 chef de niveau 3-6 et 2 sergents de niveau 3) ou groupe (30-50 et 1 sergent de niveau 3 par 20 adultes, 5 lieutenants de niveau 5, 3 capitaines de niveau 7 et 2-5 elementaires de terre de taille m)";"+1";"+1";"15";"* Source : Bestiaire p.267
* Svirfneblin, rôdeur 1
* Humanoïde (gnome) de taille P, N";"* particularites : connaissance de la pierre, empathie sauvage +0, pistage
* pouvoirs magiques : (nls 1)
* rm : 12";
"Sylphe";"8";"17";"10";"15";"14";"10";"+5";"+0";"+2";"+3";"9 (1d8+1)";"16, contact 14, pris au depourvu 12 (armure +2, dex +3, esquive +1)";"200";"9 m (6 c)";"* 1/jour - feuille morte";"electricite 5";"dague, -1 (1d4-1/19-20)";"dague, +3 (1d4-1/19-20)";"attaque sournoise +1d6";"esquive";"acrobaties +7, bluff +4, connaissances (folklore local) +6, diplomatie +4";;"vision dans le noir 18 m (12 c) ; perception +6";"aerien, commun, elfe, halfelin";"terre ferme";"equipement de pnj (armure de cuir, deux dagues, autres tresors)";"solitaire, couple, ou groupe (3-6)";"+0";"-1";"13";"* Source : Bestiaire 2, p. 259
* Sylphe, roublard 1
* Extérieur (natif) de taille M, N
* Discrétion +7, Escalade +3, Escamotage +7, Estimation +6, Perception +6, Utilisation d'objets magiques +4";"* particularites : affinite elementaire, recherche des pieges +1
* pouvoirs magiques : (nls 1 ; concentration +1)
* affinite elementaire : les sylphes du lignage elementaire de l'air fonctionnent comme s'ils avaient 2 points de charisme en plus pour tout ce qui concerne les sorts et les aptitudes d'ensorceleurs. les lanceurs de sorts sylphes qui ont acces au domaine de l'air utilisent leurs pouvoirs et sorts de domaine comme si leur nls etait accru de 1";
"Sylvanien";"29";"8";"21";"12";"16";"13";"+3";"+13";"+9";"-1";"114 (12d8+60)";"21, contact 7, pris au depourvu 21 (dex -1, naturelle +14, taille -2)";"4.800";"9 m (6 c)";"";;"2 coups +17 (2d6+9/19-20)";"rocher +7 (2d6+13)";"lancer de rochers 54 m (36 c), pietinement (2d6+13, dd 25)";"arme de predilection (coup), attaque en puissance, science de la destruction, science du critique (coup), vigilance, volonte de fer";"connaissances (nature) +9, diplomatie +9, discretion +9 (+7 en foret), intimidation +9, perception +12, psychologie +9";"+16 en discretion en forets";"vision nocturne ; perception +12";"commun, sylvanien, sylvestre";"n'importe quelle foret";"standard";"solitaire ou bosquet (2-7)";"+9";"+20";"29";"* Source : Bestiaire p.268
* Plante de taille TG, NB";"* espace : 3
* rd : 10/tranchant
* communication avec les plantes : les sylvaniens peuvent dialoguer avec les plantes comme s'ils etaient constamment sous les effets d'un sort de  communication avec les plantes et la plupart des plantes les considerent avec une attitude amicale ou serviable
* particularites : animation d'arbres, communication avec les plantes, degats doubles contre les objets
* degats doubles contre les objets : lorsqu'un sylvanien ou un arbre anime effectue une attaque a outrance contre un objet ou un batiment, les degats infliges sont doubles
* animation d'arbres : un sylvanien peut animer les arbres presents dans un rayon de 54 m (36 c). cette capacite utilisable a volonte lui permet de controler jusqu'a deux arbres en meme temps. il faut 1 round entier a un arbre pour extraire ses racines de terre. apres cela, il peut se deplacer a une vitesse de 3 m (2 c) et combattre comme un sylvanien (mais il ne possede qu'une seule attaque de coup et n'acquiert pas les capacites  d'animation et de lancement de rochers). comme le sylvanien, l'arbre anime est vulnerable au feu. si le sylvanien qui l'a anime met un terme a cet effet, sort de la portee maximale ou devient incapable d'agir, l'arbre reprend immediatement racines la ou il se trouve et redevient un arbre tout a fait normal
* allonge : 3
* faiblesses : vulnerabilite au feu
* capacites defensives : traits des plantes";
"Tarasque";"41";"16";"34";"3";"15";"14";"+22";"+31";"+12";"+7";"525 (30d10+360) ; regeneration 40";"40, contact 5, pris au depourvu 37 (dex +3, naturelle +35, taille -8)";"1.638.400";"12 m (8 c)";"";;"morsure +37 (4d8+15/15-20/x3 et etreinte), 2 griffes +37 (1d12+15), 2 cornes +37 (1d10+15), coup de queue +32 (3d8+7)";"6 epines +25 (2d10+15/x3)";"engloutissement (6d6+22 et 6d6 acide, ca 27, pv 52), epines, pointe de vitesse";"attaque en puissance, attaques reflexes, combat en aveugle, coup fabuleux, course, critique ralentissant, critique sanglant, don pour les critiques, enchainement, reflexes surhumains, science de l'initiative, science de la bousculade, science du critique (morsure), succession d'enchainements, vigueur surhumaine";"acrobaties +3 (+43 pour le saut), perception +43";"perception +8";"odorat, vision nocturne ; perception +43";"aklo (ne sait pas parler)";"quelconque";"aucun";"solitaire";"+30";"+53 (+57 pour la lutte)";"66";"* Source : Bestiaire p.269
* Créature magique de taille C, N";"* epines : par une action simple, la tarasque peut projeter une salve de six epines jaillissant de son corps en remuant la tete ou en agitant la queue. il faut effectuer un jet d'attaque pour chacune des epines et toutes les cibles doivent se trouver a 9 m (6 c) les unes des autres. les epines ont un facteur de portee de 36 m (24 c)
* regeneration : il n'existe aucune forme d'attaque qui puisse interrompre la regeneration de la tarasque. elle regenere meme apres avoir ete desintegree ou tuee par un effet de mort. si la tarasque rate un jet de sauvegarde contre un effet qui la tue instantanement, elle se releve 3 rounds plus tard avec 1 point de vie (a condition qu'on n'inflige pas de degats sur sa depouille entre temps). il est possible de la bannir ou de la transporter ailleurs pour sauver une region mais on n'a pas decouvert de methode permettant de la tuer une fois pour toutes
* particularites : bonds puissants, carapace
* immunites : absorption d'energie, acide, blessures permanentes, diminution permanente de caracteristiques, effets mentaux, feu, maladie, metamorphose, paralysie, petrification, poison, saignement
* carapace : les ecailles de la tarasque devient les sorts qui prennent la forme de cones, de lignes ou de rayons ainsi que les projectiles magiques, ce qui, dans les faits l'immunise contre ces effets. chaque effet devie a 30% de chances d'etre renvoye (avec son plein potentiel) vers celui qui l'a lance. sinon, l'effet est simplement annule
* espace : 9 m (6 c)
* rd : 15/epique
* rm : 36
* aura : presence terrifiante 90 m (60 c, dd 27)
* allonge : 9 m (6 c) ; 18 m (12 c) pour le coup de queue
* pointe de vitesse : une fois par minute, la tarasque peut se deplacer a une vitesse de 45 m (30 c) pendant 1 round. cette pointe de vitesse fait passer son bonus d'acrobaties pour les tests de saut a +87
* bonds puissants : lors de tests d'acrobaties visant a sauter, la tarasque applique son modificateur de force et beneficie d'un bonus racial de +24";
"Tarentule géante";"35";"13";"24";"-";"10";"2";"+4";"+14";"+3";"+1";"115 (10d8+70)";"21, contact 7, pris au depourvu 20 (dex +1, naturelle +14, taille -4)";"4 800";"9 m (6 c), escalade 9 m (6 c)";"";;"morsure, +15 (3d6+18 plus poison)";"poils aceres, +4 contact (nausees)";;;"discretion -7 (-3 dans des toiles), escalade +28, perception +4";"+4 en discretion (+8 dans des toiles), +8 en escalade, +4 en perception";"perception des vibrations 18 m (12 c), vision dans le noir 18 m (12 c) ; perception +4";;"forets";"fortuit";"solitaire, couple ou colonie (3-8)";"+7";"+23";"34 (46 contre croc-en-jambe)";"* Source : Bestiaire 2 p.35
* Vermine de taille Gig, N
* créature (attaque de contact à distance, facteur de portée 6 mètres (4 c)). Une victime touchée par ces poils doit réussir un jet de Vigueur de DD 22 pour ne pas être nauséeuse pendant 1d6 rounds. Les créatures qui attaquent une tarentule géante avec une arme de corps à corps sans allonge doivent réussir un jet de Réflexes contre un DD de 22 pour ne pas être touchées par ces poils. Les DD des jets de sauvegarde dépendent de la Constitution.";"* capacites defensives : poils aceres
* allonge : 6 m (4 c)
* poison : morsure - blessure ; jds vigueur dd 24 ; frequence 1/round pendant 6 rounds ; effet affaiblissement temporaire 1d6 for ; guerison 2 reussites consecutives. le dd du jet de sauvegarde depend de la constitution et comporte un bonus racial de +2
* espace : 6 m (4 c)
* immunites : effets mentaux
* poils aceres : une tarentule peut projeter des poils aceres a partir de son dos vers une";
"Tatzlwyrm";"14";"15";"12";"5";"14";"11";"+5";"+4";"+5";"+2";"22 (3d12+3)";"15, contact 12, pris au depourvu 13 (dex +2, naturelle +3)";"600";"9 m (6 c), escalade 9 m (6 c)";"";;"morsure +5 (1d6+3 et etreinte)";;"bond, pattes arriere (2 griffes +5, 1d4+2), souffle empoisonne";"aisance, discret";"discretion +10 (+16 dans une vegetation dense), escalade +14, evasion +5, intimidation +4, perception +8";"discretion +6 dans une vegetation dense";"vision dans le noir 18 m (12 c), vision nocturne ; perception +8";"draconique";"toutes les forets";"standard";"solitaire ou nid (2-5)";"+3";"+5 (+9 pour la lutte)";"17 (ne peut etre mis a terre)";"* Source : Pathfinder AP#31
* Dragon de taille M, N
* Poison du tatzlwyrm : souffle - inhalation ; JdS Vigueur DD 12 ; fréquence 1/round pendant 2 rounds ; effet 1d2 Con ; guérison 1 réussite. Le DD dépend de la Constitution.";"* souffle empoisonne : le souffle d'un tazlwyrm est empoisonne, mais rarement mortel. lorsqu'il a agrippe un ennemi, au lieu de porter une attaque de morsure ou de pattes arriere, un tatzlwyrm peut envoyer un souffle empoisonne dans le visage de la victime. le tazlwyrm doit commencer son tour en ayant deja agrippe une victime pour pouvoir utiliser cette capacite ; il ne peut pas agripper et utiliser son souffle empoisonne au cours du meme tour
* immunites : paralysie, sommeil";
"Tendricule";"24";"9";"18";"3";"8";"3";"+4";"+10";"+4";"+3";"76 (9d8+36) ; regeneration 10 (contondant ou feu)";"19, contact 7, pris au depourvu 19 (dex -1, naturelle +12, taille -2)";"2 400";"6 m (4 c)";"";;"morsure, +11 (2d6+7 plus etreinte) et 2 tentacules, +6 (1d6+3 plus etreinte)";;"engloutissement (2d6 acide plus paralysie, ca 15, 7 pv), paralysie (3d6 rounds, dd 18)";"attaque en puissance, reflexes surhumains, science de l'initiative, talent (discretion), volonte de fer";"discretion +1 (+9 dans les fourres), perception +7";"+8 discretion dans les fourres";"vision nocturne ; perception +7";"sylvestre (incapable de parler)";"forets temperees ou chaudes";"standard";"solitaire, couple ou bosquet (3-6)";"+6";"+15 (+19 lutte)";"24 (croc-en-jambe impossible)";"* Source : Bestiaire 2, p.260
* Plante de taille TG, N";"* allonge : 4,50 m (3 c)
* immunites : acide, traits des plantes
* espace : 4,50 m (3 c)";
"Tengu";"12";"17";"12";"10";"15";"8";"+5";"+1";"+2";"+3";"9 (1d8+1)";"15, contact 13, pris au depourvu 12 (armure +2, dex +3)";"200";"9 m (6 c)";"";;"dague +3 (1d4+1/19-20), morsure -2 (1d3)";"arc court +3 (1d6/x3)";"attaque sournoise +1d6";"attaque en finesse";"acrobaties +7, bluff +3, connaissances (folklore local) +4, discretion +9, escalade +5, estimation +4, linguistique +8, perception +8";"discretion +2, linguistique +4, perception +2";"vision nocturne ; perception +8";"commun, gobelin, halfelin, tengu";"montagnes temperees ou en ville";"equipement de pnj (armure de cuir, dague, arc court avec 20 fleches, autres tresors)";"solitaire, couple ou groupe (3-12)";"+0";"+1";"14";"* Source : Bestiaire p.270
* Tengu (m), roublard 1
* Humanoïde (tengu) de taille M, N";"* linguiste doue : les tengus beneficient d'un bonus racial de +4 aux tests de linguistique  et apprennent 2 nouvelles langues chaque fois qu'ils gagnent un rang en linguistique (au lieu d'une seule)
* particularites : entrainement aux epees, linguiste doue, recherche des pieges
* entrainement aux epees : des la naissance, les tengus s'entrainent a manier des lames. ils sont automatiquement formes au maniement des epees au sens large (y compris le cimeterre a deux mains, les cimeterres, les dagues de poing, les dagues, les doubles lames, les epees a deux mains, les epees batardes, les epees courtes, les epees longues, les kukris, les lames elfiques incurvees et les rapieres)";
"Tentamort";"15";"13";"14";"1";"14";"6";"+5";"+4";"+7";"+5";"39 (6d8+12)";"17, contact 11, pris au depourvu 16 (dex +1, naturelle +6)";"1 200";"6 m (4 c), escalade 6 m (4 c)";"";;"dard, +6 (1d6+2 plus poison) et tentacule, +2 (1d6+1 plus etreinte)";;"constriction (1d6+1)";"arme de predilection (tentacule), reflexes surhumains, science de l'initiative";"escalade +10, perception +11";;"perception aveugle 9 m (6 c), vision a 360°, vision dans le noir 18 m (12 c) ; perception +11";;"marais ou sous terre";"fortuit";"solitaire, couple ou groupe (3-6)";"+4";"+6 (+10 lutte)";"17 (croc-en-jambe impossible)";"* Source : Bestiaire 2, p.266
* Aberration de taille M, N";"* poison : dard - blessure; jds vigueur dd 15 ; frequence 1/round pendant 2 rounds ; effet affaiblissement temporaire 1d4 con et nausees ; guerison 1 reussite
* espace : 1,50 m (1 c) ; allonge 3 m (2 c)";
"Tertre errant";"21";"10";"17";"7";"10";"9";"+5";"+9";"+5";"+0";"67 (9d8+27)";"19, contact 9, pris au depourvu 19 (naturelle +10, taille -1)";"2.400";"6 m (4 c), nage 6 m (4 c)";"";"feu 10";"2 coups +11 (2d6+5 et etreinte)";;"constriction (2d6+7)";"arme de predilection (coup), attaque en puissance, enchainement, reflexes surhumains, volonte de fer";"discretion +8 (+16 dans les forets/marais), natation +13, perception +11";"discretion +4 (+12 dans les forets/marais), perception +4";"vision dans le noir 18 m (12 c), vision nocturne ; perception +11";"commun, sylvestre (ne peut pas parler)";"forets et marais temperes";"standard";"solitaire";"+6";"+12 (+16 pour la lutte)";"22";"* Source : Bestiaire p.271
* Plante de taille G, N";"* espace : 3 m (2 c)
* immunites : electricite
* particularites : renforcement par l'electricite
* renforcement par l'electricite : les tertres errants ne sont jamais blesses par les degats electriques. de plus, chaque attaque electrique utilisee contre eux augmente leur constitution de 1d4 points de maniere temporaire. ce bonus temporaire disparait au rythme de 1 point par heure
* allonge : 3 m (2 c)
* capacites defensives : traits des plantes";
"Thélétos";"18";"14";"17";"11";"19";"12";"+5";"+9";"+12";"+6";"76 (9d10+27) ; guerison acceleree 5";"20, contact 15, pris au depourvu 17 (dex +2, esquive +1, naturelle +5, parade +2)";"3.200";"9 m (6 c), vol 9 m (6 c) (mediocre)";"* À volonté - anathème (DD12), augure, injonction (DD 12), sanctuaire (DD 12)
* 3/jour - délivrance des malédictions, discours captivant (DD 13), dissipation de la magie, idiotie (DD 13), malédiction (DD 14), suggestion (DD14)
* 1/jour - charme-monstre (DD 15), mission (DD 15)";"electricite 10, feu 10";"2 coups, +13 (1d6+4) et 2 tentacules, +8 (1d4+2 plus absorption du destin)";;"poids du destin";"esquive, science de la volonte de fer, science de l'initiative, vol stationnaire, volonte de fer";"art de la magie +12, connaissances (plans) +16, discretion +14, intimidation +13, perception +16, psychologie +16, vol -2";;"vision dans le noir 18 m (12 c) ; perception +16";"visualisation";"tous (plans exterieurs)";"aucun";"solitaire, couple ou collectif (3-12)";"+3";"+13";"28 (croc-en-jambe impossible)";"* Source : Bestiaire 2 page 16
* Extérieur (aéon, extraplanaire) de taille M, N";"* allonge : 1,5 m (1 c)
* poids du destin : par une action complexe utilisable tous les 1d4 rounds, un theletos peut liberer un cone d'energie de 18 metres (12 c)a partir de sa poitrine. toutes les creatures intelligentes touchees par ce cone doivent reussir un jet de volonte de dd 15 pour ne pas etre assaillies par les divers futurs que le destin lui reserve. comme il n'est pas possible de vraiment comprendre cette multitude de futurs positifs et negatifs, la victime est chancelante. une victime affectee par cet etat doit lancer deux des lorsqu'elle effectue un jet d'attaque, un jet de sauvegarde ou un test de competence et d'accepter le moins bon des deux resultats. ce faisant, elle libere son ame du poids du destin et elle n'est plus chancelante. il s'agit d'un effet de malediction, qui peut donc etre supprime par une delivrance des maledictions ou une annulation d'enchantement ; le nls effectif de cette malediction est egal au nombre de dv du theletos (9 dans la plupart des cas). le dd du jet de sauvegarde depend du charisme
* particularites : extension du tout, forme du neant
* pouvoirs magiques : (nls 9{e} ; concentration +10)
* rm : 18
* espace : 1,5 m (1 c)
* absorption du destin : un theletos possede deux tentacules flexibles et cristallins qui lui permettent d'absorber la force de la destinee de ses victimes. chaque fois qu'il frappe une cible avec ces tentacules, celle-ci doit reussir un jet de volonte de dd 17 pour eviter un affaiblissement temporaire de 1d4 points de charisme. tant que cet affaiblissement n'est pas gueri, la victime subit un malus de -2 a tous les jets de sauvegarde (quel que soit l'affaiblissement subi, le malus reste le meme). le dd du jet de sauvegarde depend de la constitution
* immunites : critiques, froid, poison";
"Thanadaémon";"21";"16";"23";"17";"17";"18";"+12";"+11";"+14";"+7";"172 (15d10+90)";"27, contact 14, pris au depourvu 23 (dex +3, esquive +1, naturelle +13)";"25 600";"9 m (6 c)";"* Constant - marche dans les airs, vision lucide
* À volonté - changement de plan (personnel plus un esquif et les passagers uniquement, plan
* Astral, Éthéré ou d'alignement Mauvais uniquement), téléportation suprême (personnel plus un esquif et les passagers uniquement)
* 3/jour - animation des morts, énergie négative, profanation
* 1/jour - convocation (niveau 4, 1d4 hydrodaémons 80% ou 1 thanadaémon 35%)";"electricite 10, feu 10, froid 10";"baton +2, +22/+17/+12 (1d6+9 plus absorption d'energie) ou 2 griffes, +20 (1d4+5 plus absorption d'energie)";;"absorption d'energie (1 niveau, dd 21), arme absorbante, ecrasement de l'ame, regard de terreur";"attaque en puissance, combat en aveugle, esquive, fente, science de l'initiative, souplesse du serpent, vigilance, volonte de fer";"acrobaties +21, bluff +22, connaissances (plans) +21, connaissances (religion) +21, diplomatie +22, discretion +14, intimidation +22, perception +25, psychologie +25, survie +10";;"vision dans le noir 18 m (12 c), vision lucide ; perception +25";"abyssal, draconique, infernal ; telepathie 30 m (20 c)";"tous (abaddon)";"standard (baton +2, autres tresors)";"solitaire, couple ou conseil (3-11)";"+15";"+20";"34";"* Source : Bestiaire 2, p.84
* Extérieur (daémon, extraplanaire, Mal) de taille M, NM";"* arme absorbante : l'attaque d'absorption d'energie du thanadaemon fonctionne a travers les armes de corps a corps qu'il utilise
* ecrasement de l'ame : un thanadaemon peut ecraser une gemme d'ame (voir la description du cacodaemon) par une action simple afin de gagner la capacite de guerison acceleree 15 pendant 15 rounds. cette action condamne l'ame ecrasee a errer sur abaddon. un test de nls contre un dd de 28 est alors necessaire pour ressusciter la victime
* regard de terreur : se recroqueviller de terreur pendant 1d6 rounds, 9 metres, volonte dd 21 annule. c'est un effet mental de terreur. le dd du jet de sauvegarde depend du charisme
* immunites : acide, effets de mort, maladie, poison
* rm : 24
* rd : 10/bien
* pouvoirs magiques : (nls 15 ; concentration +19)";
